Date,Name,Year,Letterboxd URI
2020-10-02,A Taxi Driver,2017,https://boxd.it/fwac
2020-10-02,Thirst,2009,https://boxd.it/1Aqq
2020-10-04,Stalker,1979,https://boxd.it/28PO
2020-10-13,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2020-10-17,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0
2020-10-17,Jaws,1975,https://boxd.it/2a5e
2020-10-26,Bottle Rocket,1996,https://boxd.it/1PDa
2020-11-02,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk
2020-11-02,American History X,1998,https://boxd.it/2bdo
2020-11-02,Jacob's Ladder,1990,https://boxd.it/270g
2020-11-02,Upgrade,2018,https://boxd.it/i4gW
2020-11-02,Death Proof,2007,https://boxd.it/27GG
2020-11-03,Blue Velvet,1986,https://boxd.it/29BI
2020-11-04,Crank,2006,https://boxd.it/27MY
2020-11-05,The Rock,1996,https://boxd.it/1XM0
2020-11-06,Under the Silver Lake,2018,https://boxd.it/dSAs
2020-11-06,Sour Grapes,2016,https://boxd.it/dRRM
2020-11-08,The Descent,2005,https://boxd.it/1YNy
2020-11-09,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2020-11-09,Melancholia,2011,https://boxd.it/bPI
2020-11-11,Tokyo Story,1953,https://boxd.it/1HuY
2020-11-11,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa
2020-11-14,Watership Down,1978,https://boxd.it/1SYg
2020-11-15,Black Christmas,1974,https://boxd.it/1Js6
2020-11-17,Paterson,2016,https://boxd.it/cRk2
2020-11-17,Brick,2005,https://boxd.it/1Z6A
2020-11-18,Malcolm X,1992,https://boxd.it/27WE
2020-11-19,Wolfwalkers,2020,https://boxd.it/fGrC
2020-11-19,My Octopus Teacher,2020,https://boxd.it/prk2
2020-11-20,Another Round,2020,https://boxd.it/lkba
2020-11-24,Blindspotting,2018,https://boxd.it/hDMw
2020-11-25,In Bruges,2008,https://boxd.it/20n8
2020-11-25,The Corporation,2003,https://boxd.it/1TSS
2020-11-27,Fireball: Visitors From Darker Worlds,2020,https://boxd.it/l5iA
2020-11-27,Encounters at the End of the World,2007,https://boxd.it/1SmQ
2020-11-28,Pieces of a Woman,2020,https://boxd.it/nOrQ
2020-11-29,Amélie,2001,https://boxd.it/2aUc
2020-11-29,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M
2020-11-29,Eat Drink Man Woman,1994,https://boxd.it/1Wem
2020-11-30,The Exorcist,1973,https://boxd.it/1Yoo
2020-12-01,Kajillionaire,2020,https://boxd.it/jJDY
2020-12-03,Tomboy,2011,https://boxd.it/49U
2020-12-05,Rebecca,1940,https://boxd.it/2aQa
2020-12-06,Serpico,1973,https://boxd.it/1ZjE
2020-12-17,Bicycle Thieves,1948,https://boxd.it/23hW
2020-12-17,Assassins,2020,https://boxd.it/oiPI
2020-12-20,Going Clear: Scientology and the Prison of Belief,2015,https://boxd.it/ahPO
2020-12-21,Heat,1995,https://boxd.it/2bg8
2020-12-25,Infernal Affairs,2002,https://boxd.it/1Vqw
2020-12-27,The Darjeeling Limited,2007,https://boxd.it/24as
2020-12-28,The Way I See It,2020,https://boxd.it/rmNi
2021-01-08,Amadeus,1984,https://boxd.it/2aH8
2021-01-08,The Wolf of Snow Hollow,2020,https://boxd.it/oeu2
2021-01-08,Soul,2020,https://boxd.it/ioLA
2021-01-15,City of God,2002,https://boxd.it/2a2a
2021-01-15,The Ascent,1977,https://boxd.it/Eew
2021-01-17,Ran,1985,https://boxd.it/1Tlu
2021-01-17,Solaris,1972,https://boxd.it/2a2Y
2021-01-17,The Fisher King,1991,https://boxd.it/2aWM
2021-01-30,Cryptozoo,2021,https://boxd.it/tcuO
2021-01-30,45 Years,2015,https://boxd.it/9ZPG
2021-02-07,The Gentlemen,2019,https://boxd.it/iYBQ
2021-02-12,(500) Days of Summer,2009,https://boxd.it/1EmM
2021-02-13,O.J.: Made in America,2016,https://boxd.it/d7zi
2021-02-13,Crumb,1994,https://boxd.it/1tDi
2021-02-16,Flee,2021,https://boxd.it/ponM
2021-02-16,A Sun,2019,https://boxd.it/n3uo
2021-02-17,Ratatouille,2007,https://boxd.it/27ww
2021-02-17,Man on the Moon,1999,https://boxd.it/281k
2021-02-18,Framing Britney Spears,2021,https://boxd.it/uaGq
2021-02-19,Beau Travail,1999,https://boxd.it/1NI8
2021-02-21,Frost/Nixon,2008,https://boxd.it/1TI4
2021-02-21,Misery,1990,https://boxd.it/28gY
2021-02-23,20th Century Women,2016,https://boxd.it/bqU6
2021-02-27,Billie Eilish: The World's a Little Blurry,2021,https://boxd.it/olni
2021-03-01,Ghost,1990,https://boxd.it/2aLE
2021-03-02,Ed Wood,1994,https://boxd.it/2adM
2021-03-04,Network,1976,https://boxd.it/1VqG
2021-03-04,All That Jazz,1979,https://boxd.it/1JB8
2021-03-07,Undone,2019,https://boxd.it/nKS4
2021-03-07,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2021-03-12,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2021-03-12,Con Air,1997,https://boxd.it/28gO
2021-03-13,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2021-03-13,Edvard Munch,1974,https://boxd.it/E3y
2021-03-13,Anatomy of a Murder,1959,https://boxd.it/2baa
2021-03-17,High and Low,1963,https://boxd.it/1RSc
2021-03-17,Ikiru,1952,https://boxd.it/251c
2021-03-20,A Scanner Darkly,2006,https://boxd.it/25jK
2021-03-20,Waking Life,2001,https://boxd.it/1Zdc
2021-03-20,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2021-03-21,To Live and Die in L.A.,1985,https://boxd.it/1XFo
2021-03-24,Funny Games,2007,https://boxd.it/207a
2021-03-24,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2021-03-26,The Last Picture Show,1971,https://boxd.it/1weg
2021-03-30,The Game,1997,https://boxd.it/26vC
2021-04-01,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2021-04-01,Shithouse,2020,https://boxd.it/nCFc
2021-04-04,The Wrestler,2008,https://boxd.it/1So8
2021-04-05,Chungking Express,1994,https://boxd.it/1UDa
2021-04-07,Raw,2016,https://boxd.it/dLd2
2021-04-07,The Fall,2006,https://boxd.it/1NoM
2021-04-07,What's Eating Gilbert Grape,1993,https://boxd.it/28xg
2021-04-07,Dog Day Afternoon,1975,https://boxd.it/29bg
2021-04-08,Pride & Prejudice,2005,https://boxd.it/24u8
2021-04-13,Weekend,2011,https://boxd.it/2Kzu
2021-04-13,Wild Strawberries,1957,https://boxd.it/29ZU
2021-04-13,Fat Girl,2001,https://boxd.it/2a6w
2021-04-13,At Eternity's Gate,2018,https://boxd.it/hI40
2021-04-16,Jesus Camp,2006,https://boxd.it/28ac
2021-04-23,Cleaners,2019,https://boxd.it/n6HU
2021-04-24,Blue Valentine,2010,https://boxd.it/MxG
2021-04-26,Peppermint Candy,1999,https://boxd.it/ZQc
2021-04-29,The Night of the Hunter,1955,https://boxd.it/25HW
2021-04-29,Wild at Heart,1990,https://boxd.it/2aii
2021-04-29,Bound,1996,https://boxd.it/1Z1g
2021-04-29,Bringing Out the Dead,1999,https://boxd.it/1ZZK
2021-04-30,Poor Things,,https://boxd.it/tNWU
2021-05-03,Sunset Boulevard,1950,https://boxd.it/2a20
2021-05-03,The Kid Detective,2020,https://boxd.it/r0qm
2021-05-06,Sorry We Missed You,2019,https://boxd.it/iXBg
2021-05-07,Do the Right Thing,1989,https://boxd.it/29gA
2021-05-07,Bowling for Columbine,2002,https://boxd.it/28Ls
2021-05-07,The Producers,1967,https://boxd.it/1lMm
2021-05-11,American Movie,1999,https://boxd.it/1Oty
2021-05-12,Army of Darkness,1992,https://boxd.it/29G4
2021-05-13,Street Gang: How We Got to Sesame Street,2021,https://boxd.it/h5cu
2021-05-14,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO
2021-05-14,Mysterious Skin,2004,https://boxd.it/1UsG
2021-05-14,Speed,1994,https://boxd.it/28qk
2021-05-14,The Last Movie,1971,https://boxd.it/FFe
2021-05-15,Gummo,1997,https://boxd.it/1H0Y
2021-05-18,Electra Glide in Blue,1973,https://boxd.it/1u5w
2021-05-19,California Split,1974,https://boxd.it/1hRs
2021-05-21,Evil Dead II,1987,https://boxd.it/29Ge
2021-05-21,Suspiria,1977,https://boxd.it/1SNW
2021-05-25,This Film Is Not Yet Rated,2006,https://boxd.it/1KTs
2021-05-29,Leviathan,2012,https://boxd.it/4bBO
2021-05-29,Vivre Sa Vie,1962,https://boxd.it/28s6
2021-05-31,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-03,Heathers,1989,https://boxd.it/26x4
2021-06-08,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu
2021-06-13,Grosse Pointe Blank,1997,https://boxd.it/1YGW
2021-06-15,Pink Flamingos,1972,https://boxd.it/29NO
