Date,Name,Year,Letterboxd URI,Rating
2021-03-16,Rashomon,1950,https://boxd.it/2a9K,4.5
2021-03-19,Citizen Kane,1941,https://boxd.it/71O,5
2021-03-21,Sorcerer,1977,https://boxd.it/14J6,4
2021-03-24,Mad Max 2,1981,https://boxd.it/1ZPg,3.5
2021-03-27,Mank,2020,https://boxd.it/mIuC,3
2021-03-29,The Father,2020,https://boxd.it/m8Ie,4
2021-03-30,Silence,2016,https://boxd.it/2cAo,4
2021-03-31,After Hours,1985,https://boxd.it/1VfS,4
2021-04-02,A League of Their Own,1992,https://boxd.it/1UdG,3.5
2021-04-03,Shame,2011,https://boxd.it/2CxU,4.5
2021-04-05,Enter the Void,2009,https://boxd.it/1dy2,4.5
2021-04-06,The Seventh Seal,1957,https://boxd.it/2ahO,3.5
2021-04-07,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,2.5
2021-04-08,The Elephant Man,1980,https://boxd.it/27LQ,4
2021-04-09,Chinatown,1974,https://boxd.it/29vU,4.5
2021-04-10,Shiva Baby,2020,https://boxd.it/oIv0,4
2021-04-14,Dredd,2012,https://boxd.it/GZE,3
2021-04-22,Close-Up,1990,https://boxd.it/1m9q,3.5
2021-04-30,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5
2021-04-30,Funny Games,1997,https://boxd.it/1WKM,4.5
2021-05-01,Spirited Away,2001,https://boxd.it/2b4m,4
2021-05-02,Mamma Mia!,2008,https://boxd.it/1Tnq,4
2021-05-07,Night of the Living Dead,1968,https://boxd.it/1WwA,3
2021-05-08,Ella Enchanted,2004,https://boxd.it/1O5G,1.5
2021-05-09,The Prestige,2006,https://boxd.it/293w,4.5
2021-05-12,Halloween,1978,https://boxd.it/2wRu,3.5
2021-05-13,American Psycho,2000,https://boxd.it/28Vs,4
2021-05-14,Easy Rider,1969,https://boxd.it/29Ys,4.5
2021-05-15,Phantom Thread,2017,https://boxd.it/e4uc,5
2021-05-19,Shrek,2001,https://boxd.it/29zi,2.5
2021-05-21,The World's End,2013,https://boxd.it/3EiO,4
2021-05-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-06-03,No Country for Old Men,2007,https://boxd.it/21ew,4
2021-06-05,Mikey and Nicky,1976,https://boxd.it/iL4,3.5
2021-06-07,Unbreakable,2000,https://boxd.it/1XV2,4
2021-06-09,The Favourite,2018,https://boxd.it/d2hI,4
2021-06-13,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
2021-06-14,Edward Scissorhands,1990,https://boxd.it/2aZc,3
2021-06-15,Le Samouraï,1967,https://boxd.it/22ZI,4.5
2021-06-16,Pi,1998,https://boxd.it/2ajq,4
2021-06-19,Black Swan,2010,https://boxd.it/Sw0,4.5
2021-06-19,RoboCop,1987,https://boxd.it/22Wu,5
2021-06-20,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2021-06-21,Rocky,1976,https://boxd.it/28Uk,4
2021-06-22,Mean Girls,2004,https://boxd.it/1VNg,3
2021-07-03,Rushmore,1998,https://boxd.it/1TAO,4
2021-07-05,Exit Through the Gift Shop,2010,https://boxd.it/13E0,4
2021-07-09,Prisoners,2013,https://boxd.it/4E5i,5
2021-07-10,Seven Samurai,1954,https://boxd.it/2axi,3.5
2021-07-11,Zodiac,2007,https://boxd.it/27MO,4
2021-07-12,Thief,1981,https://boxd.it/1TEc,4
2021-07-13,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,3.5
2021-07-14,The Terminator,1984,https://boxd.it/2aQY,3
2021-07-15,She's All That,1999,https://boxd.it/1Wz0,2
2021-07-17,Climax,2018,https://boxd.it/ikvo,4
2021-07-20,The Piano Teacher,2001,https://boxd.it/2886,4.5
2021-07-21,Upstream Color,2013,https://boxd.it/4Cwc,4.5
2021-07-22,Before Midnight,2013,https://boxd.it/4ive,4
2021-07-24,F for Fake,1973,https://boxd.it/VxA,4.5
2021-07-26,La La Land,2016,https://boxd.it/a5fa,5
2021-07-27,The 400 Blows,1959,https://boxd.it/2b1C,4
2021-07-28,Badlands,1973,https://boxd.it/25Fm,4
2021-07-31,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,3.5
2021-08-01,House,1977,https://boxd.it/1vsm,4
2021-08-01,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2021-08-02,What We Do in the Shadows,2014,https://boxd.it/7eQy,3.5
2021-08-03,Boogie Nights,1997,https://boxd.it/23um,4
2021-08-04,The Green Knight,2021,https://boxd.it/kuy2,4
2021-08-05,A Single Man,2009,https://boxd.it/1dx4,4
2021-08-06,Platoon,1986,https://boxd.it/29BS,3.5
2021-08-07,Beverly Hills Cop,1984,https://boxd.it/2baE,2.5
2021-08-10,Now You See Me,2013,https://boxd.it/2Bsu,2.5
2021-08-11,Split,2016,https://boxd.it/dgSy,3.5
2021-08-12,Mulholland Drive,2001,https://boxd.it/297o,4
2021-08-13,The Suicide Squad,2021,https://boxd.it/fw6O,3
2021-08-17,The Green Mile,1999,https://boxd.it/2agG,3
2021-08-21,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2021-09-05,Casino,1995,https://boxd.it/2ads,4
2021-09-06,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2021-09-14,Eraserhead,1977,https://boxd.it/299u,3.5
2021-09-26,Parasite,2019,https://boxd.it/hTha,5
2021-09-30,Polytechnique,2009,https://boxd.it/1AMG,3
2021-10-01,Incendies,2010,https://boxd.it/Msm,4.5
2021-10-02,Elephant,2003,https://boxd.it/287i,3.5
2021-10-03,Titane,2021,https://boxd.it/nlQC,3.5
2021-10-03,Casino Royale,2006,https://boxd.it/1alk,3.5
2021-10-14,Hereditary,2018,https://boxd.it/hNVe,4
2021-10-17,Election,1999,https://boxd.it/1YEc,4
2021-10-20,Transit,2018,https://boxd.it/gUK6,3.5
2021-10-21,Blackfish,2013,https://boxd.it/4Ym4,4
2021-10-23,Rosemary's Baby,1968,https://boxd.it/29zM,4.5
2021-10-24,Over the Garden Wall,2014,https://boxd.it/eqFw,4
2021-10-25,Dune,2021,https://boxd.it/fA7G,3.5
2021-10-25,Baby Driver,2017,https://boxd.it/bhF2,3.5
2021-10-30,Last Night in Soho,2021,https://boxd.it/lbJC,3
2021-11-01,Magnolia,1999,https://boxd.it/2aze,4
2021-11-01,The Host,2006,https://boxd.it/28ZY,3.5
2021-11-03,Hard Eight,1996,https://boxd.it/20DU,3
2021-11-07,The French Dispatch,2021,https://boxd.it/jLP8,4
2021-11-08,Inherent Vice,2014,https://boxd.it/5hla,2.5
2021-11-09,Some Kind of Heaven,2020,https://boxd.it/nH7Y,3.5
2021-11-10,The Master,2012,https://boxd.it/2cBG,4.5
2021-11-15,Spencer,2021,https://boxd.it/qPMG,3.5
2021-11-16,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2021-11-17,La Haine,1995,https://boxd.it/2as8,4
2021-11-21,Swiss Army Man,2016,https://boxd.it/bDG2,3.5
2021-11-24,Paths of Glory,1957,https://boxd.it/29b6,4
2021-11-29,Irreversible,2002,https://boxd.it/29as,2.5
2021-12-06,C'mon C'mon,2021,https://boxd.it/nrI0,3.5
2021-12-19,West Side Story,2021,https://boxd.it/iwt0,3.5
2021-12-24,The Matrix Reloaded,2003,https://boxd.it/2a1c,2.5
2021-12-27,The Matrix Revolutions,2003,https://boxd.it/2a12,2
2021-12-27,Uncut Gems,2019,https://boxd.it/gXGc,4
2021-12-28,The Power of the Dog,2021,https://boxd.it/m99E,4.5
2021-12-31,Hustlers,2019,https://boxd.it/jIBM,3
2021-12-31,Dazed and Confused,1993,https://boxd.it/1Ylk,3.5
2022-01-04,The Matrix Resurrections,2021,https://boxd.it/n87k,2.5
2022-01-07,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2022-01-08,Taxi Driver,1976,https://boxd.it/2b8y,5
2022-01-12,The Raid,2011,https://boxd.it/3hBy,4
2022-01-12,The Act of Killing,2012,https://boxd.it/44Cg,4.5
2022-01-13,The Godfather,1972,https://boxd.it/2aNK,4
2022-01-14,Gone Girl,2014,https://boxd.it/6hQu,4
2022-01-16,Taste of Cherry,1997,https://boxd.it/1m8W,5
2022-01-22,Mother,2009,https://boxd.it/1m9g,4.5
2022-02-04,Moon,2009,https://boxd.it/1IGQ,4
2022-02-11,Don't Look Up,2021,https://boxd.it/o0Hc,2
2022-02-18,CODA,2021,https://boxd.it/tbf4,2.5
2022-02-23,Boys State,2020,https://boxd.it/oiNW,3
2022-02-25,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2022-03-01,North by Northwest,1959,https://boxd.it/2aRM,3.5
2022-03-02,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2022-03-05,Drive My Car,2021,https://boxd.it/sv94,3.5
2022-03-06,The Batman,2022,https://boxd.it/eDGs,3.5
2022-03-07,Nightmare Alley,2021,https://boxd.it/m0HC,3
2022-03-09,The King of Comedy,1982,https://boxd.it/2aJS,4
2022-03-11,King Richard,2021,https://boxd.it/mJZ2,2.5
2022-03-14,Fantastic Planet,1973,https://boxd.it/1KnQ,4
2022-03-17,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2022-03-17,Belfast,2021,https://boxd.it/tefG,3
2022-03-27,The Truman Show,1998,https://boxd.it/18U8,4.5
2022-03-30,The Virgin Suicides,1999,https://boxd.it/28JG,3
2022-04-01,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2022-04-02,First Reformed,2017,https://boxd.it/go9C,4.5
2022-04-03,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2022-04-04,Lucky Number Slevin,2006,https://boxd.it/2aVu,2.5
2022-04-10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-04-12,Akira,1988,https://boxd.it/2b1i,4
2022-04-15,Blow Out,1981,https://boxd.it/1TlE,3
2022-04-17,Donnie Darko,2001,https://boxd.it/2b2A,3
2022-04-18,Captain Fantastic,2016,https://boxd.it/b2K2,2.5
2022-04-23,The Player,1992,https://boxd.it/1WlM,4
2022-04-30,mother!,2017,https://boxd.it/dgRU,4
2022-05-06,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY,4
2022-05-06,The Northman,2022,https://boxd.it/nK2s,3.5
2022-05-16,The Handmaiden,2016,https://boxd.it/948A,5
2022-05-16,Petite Maman,2021,https://boxd.it/s6je,2.5
2022-05-16,Ponyo,2008,https://boxd.it/1S0A,3
2022-05-16,Eyes Without a Face,1960,https://boxd.it/1j9i,2.5
2022-05-19,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2022-05-19,Apocalypse Now,1979,https://boxd.it/6ZS,5
2022-05-20,The White Ribbon,2009,https://boxd.it/17eU,3.5
2022-05-22,All About Eve,1950,https://boxd.it/29LI,3.5
2022-05-23,The Salesman,2016,https://boxd.it/d2we,4
2022-05-24,Breathless,1960,https://boxd.it/2aIK,4
2022-05-27,Life Itself,2014,https://boxd.it/7lqC,2.5
2022-05-31,The Red Shoes,1948,https://boxd.it/1EXI,4.5
2022-06-01,Lost in Translation,2003,https://boxd.it/2b0E,2
2022-06-02,L.A. Confidential,1997,https://boxd.it/27oC,3
2022-06-05,The Devil Wears Prada,2006,https://boxd.it/2awE,2
2022-06-06,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2022-06-07,She's Gotta Have It,1986,https://boxd.it/1quC,4
2022-06-08,Perfect Blue,1997,https://boxd.it/1W7A,4
2022-06-09,Princess Mononoke,1997,https://boxd.it/2b4w,4
2022-06-11,The Sixth Sense,1999,https://boxd.it/29Js,3.5
2022-06-13,Fallen Angels,1995,https://boxd.it/1UkW,3.5
2022-06-14,Burn After Reading,2008,https://boxd.it/23BW,4.5
2022-06-15,Days of Heaven,1978,https://boxd.it/1JRg,4
2022-06-17,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,1
2022-06-19,28 Days Later,2002,https://boxd.it/2aXU,4
2022-06-19,Coherence,2013,https://boxd.it/6xza,3
2022-06-20,The Thing,1982,https://boxd.it/294O,4
2022-06-22,Turning Red,2022,https://boxd.it/ipkq,3
2022-06-25,Sweet Smell of Success,1957,https://boxd.it/29aW,3.5
2022-06-27,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-06-27,Memento,2000,https://boxd.it/2bcK,4.5
2022-07-01,M,1931,https://boxd.it/29vq,4
2022-07-01,Hearts of Darkness: A Filmmaker's Apocalypse,1991,https://boxd.it/24ai,4
2022-07-02,Inside Llewyn Davis,2013,https://boxd.it/34Ro,4
2022-07-03,Tangerine,2015,https://boxd.it/9QRe,3.5
2022-07-04,Julia,2021,https://boxd.it/uzNQ,3.5
2022-07-05,Being John Malkovich,1999,https://boxd.it/2ahu,3.5
2022-07-06,Adaptation.,2002,https://boxd.it/26mA,4
2022-07-07,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2022-07-09,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,2
